sketch_id,name,sketch_order,season,episode,time_bin,time_bin_start,time_bin_end,time_bin_center,most_common_emotion,avg_confidence,category,category2
6,Biker Guy,5,1,2,60.0-65.0%,60.0,65.0,62.5,neutral,0.6963775115353721,sci-fi/fantasy,
6,Biker Guy,5,1,2,65.0-70.0%,65.0,70.0,67.5,neutral,0.8035104518586939,sci-fi/fantasy,
6,Biker Guy,5,1,2,70.0-75.0%,70.0,75.0,72.5,sad,0.8671922460198402,sci-fi/fantasy,
6,Biker Guy,5,1,2,75.0-80.0%,75.0,80.0,77.5,happy,0.7714217007160187,sci-fi/fantasy,
6,Biker Guy,5,1,2,80.0-85.0%,80.0,85.0,82.5,happy,0.7622075639665127,sci-fi/fantasy,
6,Biker Guy,5,1,2,85.0-90.0%,85.0,90.0,87.5,neutral,0.6978160507149167,sci-fi/fantasy,
6,Biker Guy,5,1,2,90.0-95.0%,90.0,95.0,92.5,happy,0.8542365715617225,sci-fi/fantasy,
6,Biker Guy,5,1,2,95.0-100.0%,95.0,100.0,97.5,neutral,0.7235960861047109,sci-fi/fantasy,
7,River Mountain High,6,1,2,0.0-5.0%,0.0,5.0,2.5,happy,0.9969247579574585,commercial,
7,River Mountain High,6,1,2,10.0-15.0%,10.0,15.0,12.5,neutral,0.7202086448669434,commercial,
7,River Mountain High,6,1,2,15.0-20.0%,15.0,20.0,17.5,neutral,0.6188313663005829,commercial,
7,River Mountain High,6,1,2,20.0-25.0%,20.0,25.0,22.5,sad,0.6220708588759104,commercial,
7,River Mountain High,6,1,2,25.0-30.0%,25.0,30.0,27.5,happy,0.8568651154637337,commercial,
7,River Mountain High,6,1,2,30.0-35.0%,30.0,35.0,32.5,neutral,0.8545709649721781,commercial,
7,River Mountain High,6,1,2,35.0-40.0%,35.0,40.0,37.5,neutral,0.5944485701620579,commercial,
7,River Mountain High,6,1,2,40.0-45.0%,40.0,45.0,42.5,neutral,0.5606008253314279,commercial,
7,River Mountain High,6,1,2,45.0-50.0%,45.0,50.0,47.5,neutral,0.578413165277905,commercial,
7,River Mountain High,6,1,2,50.0-55.0%,50.0,55.0,52.5,neutral,0.5797280982136727,commercial,
7,River Mountain High,6,1,2,55.0-60.0%,55.0,60.0,57.5,sad,0.7456694573163987,commercial,
7,River Mountain High,6,1,2,60.0-65.0%,60.0,65.0,62.5,happy,0.6917039568607624,commercial,
7,River Mountain High,6,1,2,65.0-70.0%,65.0,70.0,67.5,sad,0.4819375541475084,commercial,
7,River Mountain High,6,1,2,70.0-75.0%,70.0,75.0,72.5,sad,0.6040303077962663,commercial,
7,River Mountain High,6,1,2,75.0-80.0%,75.0,80.0,77.5,sad,0.6851078799137702,commercial,
7,River Mountain High,6,1,2,80.0-85.0%,80.0,85.0,82.5,sad,0.597745252152284,commercial,
7,River Mountain High,6,1,2,85.0-90.0%,85.0,90.0,87.5,sad,0.5875436744906686,commercial,
7,River Mountain High,6,1,2,90.0-95.0%,90.0,95.0,92.5,sad,0.617479892877432,commercial,
7,River Mountain High,6,1,2,95.0-100.0%,95.0,100.0,97.5,neutral,0.8003028064966202,commercial,
8,Wilson's Toupees,7,1,2,0.0-5.0%,0.0,5.0,2.5,happy,0.8655411709438671,commercial,
8,Wilson's Toupees,7,1,2,5.0-10.0%,5.0,10.0,7.5,happy,0.9022724197970496,commercial,
8,Wilson's Toupees,7,1,2,10.0-15.0%,10.0,15.0,12.5,sad,0.8252136744558811,commercial,
8,Wilson's Toupees,7,1,2,15.0-20.0%,15.0,20.0,17.5,happy,0.6309995386335585,commercial,
8,Wilson's Toupees,7,1,2,20.0-25.0%,20.0,25.0,22.5,sad,0.6310570190350214,commercial,
8,Wilson's Toupees,7,1,2,25.0-30.0%,25.0,30.0,27.5,neutral,0.6589130759239197,commercial,
8,Wilson's Toupees,7,1,2,30.0-35.0%,30.0,35.0,32.5,sad,0.7542028526465098,commercial,
8,Wilson's Toupees,7,1,2,35.0-40.0%,35.0,40.0,37.5,surprise,0.47826679348945617,commercial,
8,Wilson's Toupees,7,1,2,40.0-45.0%,40.0,45.0,42.5,anger,0.5015892833471298,commercial,
8,Wilson's Toupees,7,1,2,45.0-50.0%,45.0,50.0,47.5,happy,0.6601057052612305,commercial,
8,Wilson's Toupees,7,1,2,50.0-55.0%,50.0,55.0,52.5,neutral,0.6869013607501984,commercial,
8,Wilson's Toupees,7,1,2,55.0-60.0%,55.0,60.0,57.5,neutral,0.6090410828590394,commercial,
8,Wilson's Toupees,7,1,2,60.0-65.0%,60.0,65.0,62.5,surprise,0.8568982978661855,commercial,
8,Wilson's Toupees,7,1,2,65.0-70.0%,65.0,70.0,67.5,surprise,0.7472267262637615,commercial,
8,Wilson's Toupees,7,1,2,70.0-75.0%,70.0,75.0,72.5,sad,0.6079029005307418,commercial,
8,Wilson's Toupees,7,1,2,75.0-80.0%,75.0,80.0,77.5,sad,0.6360657930374145,commercial,
8,Wilson's Toupees,7,1,2,80.0-85.0%,80.0,85.0,82.5,sad,0.6128254905343056,commercial,
8,Wilson's Toupees,7,1,2,85.0-90.0%,85.0,90.0,87.5,happy,0.8928783641142004,commercial,
8,Wilson's Toupees,7,1,2,90.0-95.0%,90.0,95.0,92.5,neutral,0.9217827717463175,commercial,
8,Wilson's Toupees,7,1,2,95.0-100.0%,95.0,100.0,97.5,sad,0.5958532750606537,commercial,
9,Pink Bag,8,1,2,0.0-5.0%,0.0,5.0,2.5,happy,0.7458886400513027,office,
9,Pink Bag,8,1,2,5.0-10.0%,5.0,10.0,7.5,happy,0.7915640443563461,office,
