sketch_id,name,sketch_order,season,episode,time_bin,time_bin_start,time_bin_end,time_bin_center,emotion,count,total_detections,dominance_ratio,category,category2
51,Del Frisco's Double Eagle,50,2,5,70.0-75.0%,70.0,75.0,72.5,anger,2,6,0.3333333333333333,restaurant,office
51,Del Frisco's Double Eagle,50,2,5,75.0-80.0%,75.0,80.0,77.5,fear,4,9,0.4444444444444444,restaurant,office
51,Del Frisco's Double Eagle,50,2,5,80.0-85.0%,80.0,85.0,82.5,fear,9,14,0.6428571428571429,restaurant,office
51,Del Frisco's Double Eagle,50,2,5,85.0-90.0%,85.0,90.0,87.5,neutral,9,18,0.5,restaurant,office
51,Del Frisco's Double Eagle,50,2,5,90.0-95.0%,90.0,95.0,92.5,neutral,24,35,0.6857142857142857,restaurant,office
51,Del Frisco's Double Eagle,50,2,5,95.0-100.0%,95.0,100.0,97.5,neutral,22,29,0.7586206896551724,restaurant,office
52,Joanie's Birthday,51,2,5,0.0-5.0%,0.0,5.0,2.5,sad,7,13,0.5384615384615384,party,
52,Joanie's Birthday,51,2,5,5.0-10.0%,5.0,10.0,7.5,happy,12,21,0.5714285714285714,party,
52,Joanie's Birthday,51,2,5,10.0-15.0%,10.0,15.0,12.5,happy,17,30,0.5666666666666667,party,
52,Joanie's Birthday,51,2,5,15.0-20.0%,15.0,20.0,17.5,happy,10,17,0.5882352941176471,party,
52,Joanie's Birthday,51,2,5,20.0-25.0%,20.0,25.0,22.5,neutral,5,16,0.3125,party,
52,Joanie's Birthday,51,2,5,25.0-30.0%,25.0,30.0,27.5,happy,6,26,0.23076923076923078,party,
52,Joanie's Birthday,51,2,5,30.0-35.0%,30.0,35.0,32.5,happy,5,14,0.35714285714285715,party,
52,Joanie's Birthday,51,2,5,35.0-40.0%,35.0,40.0,37.5,surprise,6,15,0.4,party,
52,Joanie's Birthday,51,2,5,40.0-45.0%,40.0,45.0,42.5,surprise,5,13,0.38461538461538464,party,
52,Joanie's Birthday,51,2,5,45.0-50.0%,45.0,50.0,47.5,disgust,2,7,0.2857142857142857,party,
52,Joanie's Birthday,51,2,5,50.0-55.0%,50.0,55.0,52.5,sad,5,17,0.29411764705882354,party,
52,Joanie's Birthday,51,2,5,55.0-60.0%,55.0,60.0,57.5,sad,3,6,0.5,party,
52,Joanie's Birthday,51,2,5,60.0-65.0%,60.0,65.0,62.5,sad,4,10,0.4,party,
52,Joanie's Birthday,51,2,5,65.0-70.0%,65.0,70.0,67.5,sad,6,14,0.42857142857142855,party,
52,Joanie's Birthday,51,2,5,70.0-75.0%,70.0,75.0,72.5,happy,3,10,0.3,party,
52,Joanie's Birthday,51,2,5,75.0-80.0%,75.0,80.0,77.5,sad,9,21,0.42857142857142855,party,
52,Joanie's Birthday,51,2,5,80.0-85.0%,80.0,85.0,82.5,anger,4,14,0.2857142857142857,party,
52,Joanie's Birthday,51,2,5,85.0-90.0%,85.0,90.0,87.5,surprise,4,11,0.36363636363636365,party,
52,Joanie's Birthday,51,2,5,90.0-95.0%,90.0,95.0,92.5,anger,6,12,0.5,party,
52,Joanie's Birthday,51,2,5,95.0-100.0%,95.0,100.0,97.5,anger,3,11,0.2727272727272727,party,
53,Little Buff Boys Competition,52,2,5,0.0-5.0%,0.0,5.0,2.5,anger,3,3,1.0,commercial,
53,Little Buff Boys Competition,52,2,5,5.0-10.0%,5.0,10.0,7.5,anger,2,3,0.6666666666666666,commercial,
53,Little Buff Boys Competition,52,2,5,10.0-15.0%,10.0,15.0,12.5,anger,4,4,1.0,commercial,
53,Little Buff Boys Competition,52,2,5,20.0-25.0%,20.0,25.0,22.5,happy,1,1,1.0,commercial,
53,Little Buff Boys Competition,52,2,5,30.0-35.0%,30.0,35.0,32.5,anger,1,3,0.3333333333333333,commercial,
53,Little Buff Boys Competition,52,2,5,35.0-40.0%,35.0,40.0,37.5,disgust,2,4,0.5,commercial,
53,Little Buff Boys Competition,52,2,5,40.0-45.0%,40.0,45.0,42.5,happy,2,3,0.6666666666666666,commercial,
53,Little Buff Boys Competition,52,2,5,45.0-50.0%,45.0,50.0,47.5,disgust,1,2,0.5,commercial,
