sketch_id,name,sketch_order,season,episode,time_bin,time_bin_start,time_bin_end,time_bin_center,emotion,count,total_detections,percentage,category,category2
2,Has This Ever Happened to You?,1,1,1,65.0-70.0%,65.0,70.0,67.5,anger,2,7,28.57142857142857,commercial,
2,Has This Ever Happened to You?,1,1,1,65.0-70.0%,65.0,70.0,67.5,disgust,2,7,28.57142857142857,commercial,
2,Has This Ever Happened to You?,1,1,1,65.0-70.0%,65.0,70.0,67.5,sad,2,7,28.57142857142857,commercial,
2,Has This Ever Happened to You?,1,1,1,65.0-70.0%,65.0,70.0,67.5,surprise,1,7,14.285714285714285,commercial,
2,Has This Ever Happened to You?,1,1,1,70.0-75.0%,70.0,75.0,72.5,anger,1,3,33.33333333333333,commercial,
2,Has This Ever Happened to You?,1,1,1,70.0-75.0%,70.0,75.0,72.5,neutral,1,3,33.33333333333333,commercial,
2,Has This Ever Happened to You?,1,1,1,70.0-75.0%,70.0,75.0,72.5,sad,1,3,33.33333333333333,commercial,
2,Has This Ever Happened to You?,1,1,1,75.0-80.0%,75.0,80.0,77.5,anger,2,7,28.57142857142857,commercial,
2,Has This Ever Happened to You?,1,1,1,75.0-80.0%,75.0,80.0,77.5,neutral,2,7,28.57142857142857,commercial,
2,Has This Ever Happened to You?,1,1,1,75.0-80.0%,75.0,80.0,77.5,sad,2,7,28.57142857142857,commercial,
2,Has This Ever Happened to You?,1,1,1,75.0-80.0%,75.0,80.0,77.5,happy,1,7,14.285714285714285,commercial,
2,Has This Ever Happened to You?,1,1,1,85.0-90.0%,85.0,90.0,87.5,anger,3,5,60.0,commercial,
2,Has This Ever Happened to You?,1,1,1,85.0-90.0%,85.0,90.0,87.5,happy,1,5,20.0,commercial,
2,Has This Ever Happened to You?,1,1,1,85.0-90.0%,85.0,90.0,87.5,surprise,1,5,20.0,commercial,
2,Has This Ever Happened to You?,1,1,1,90.0-95.0%,90.0,95.0,92.5,anger,2,7,28.57142857142857,commercial,
2,Has This Ever Happened to You?,1,1,1,90.0-95.0%,90.0,95.0,92.5,happy,2,7,28.57142857142857,commercial,
2,Has This Ever Happened to You?,1,1,1,90.0-95.0%,90.0,95.0,92.5,disgust,1,7,14.285714285714285,commercial,
2,Has This Ever Happened to You?,1,1,1,90.0-95.0%,90.0,95.0,92.5,sad,1,7,14.285714285714285,commercial,
2,Has This Ever Happened to You?,1,1,1,90.0-95.0%,90.0,95.0,92.5,surprise,1,7,14.285714285714285,commercial,
2,Has This Ever Happened to You?,1,1,1,95.0-100.0%,95.0,100.0,97.5,neutral,3,6,50.0,commercial,
2,Has This Ever Happened to You?,1,1,1,95.0-100.0%,95.0,100.0,97.5,happy,2,6,33.33333333333333,commercial,
2,Has This Ever Happened to You?,1,1,1,95.0-100.0%,95.0,100.0,97.5,anger,1,6,16.666666666666664,commercial,
3,Baby of the Year,2,1,1,0.0-5.0%,0.0,5.0,2.5,sad,9,15,60.0,game show,
3,Baby of the Year,2,1,1,0.0-5.0%,0.0,5.0,2.5,surprise,2,15,13.333333333333334,game show,
3,Baby of the Year,2,1,1,0.0-5.0%,0.0,5.0,2.5,anger,1,15,6.666666666666667,game show,
3,Baby of the Year,2,1,1,0.0-5.0%,0.0,5.0,2.5,disgust,1,15,6.666666666666667,game show,
3,Baby of the Year,2,1,1,0.0-5.0%,0.0,5.0,2.5,happy,1,15,6.666666666666667,game show,
3,Baby of the Year,2,1,1,0.0-5.0%,0.0,5.0,2.5,neutral,1,15,6.666666666666667,game show,
3,Baby of the Year,2,1,1,5.0-10.0%,5.0,10.0,7.5,happy,5,13,38.46153846153847,game show,
3,Baby of the Year,2,1,1,5.0-10.0%,5.0,10.0,7.5,disgust,2,13,15.384615384615385,game show,
